蛤蛤蛤我是誰我在哪
community cards of this round: ['H7', 'S4', 'D6', 'DT', 'D5']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['S4', 'C2']
name: baseline3, hole_card: ['S7', 'ST']
name: b10204022, hole_card: ['S4', 'C2']
community cards of this round: ['ST', 'HT', 'S3', 'D7', 'D5']
name: baseline3, hole_card: ['C5', 'CK']
name: b10204022, hole_card: ['D9', 'D4']
name: baseline3, hole_card: ['C5', 'CK']
name: b10204022, hole_card: ['D9', 'D4']
community cards of this round: ['S8', 'HJ', 'HQ', 'D7', 'SQ']
name: baseline3, hole_card: ['D5', 'S5']
name: b10204022, hole_card: ['H5', 'H4']
name: baseline3, hole_card: ['D5', 'S5']
name: b10204022, hole_card: ['H5', 'H4']
name: baseline3, hole_card: ['D5', 'S5']
name: b10204022, hole_card: ['H5', 'H4']
b10204022 vs baseline3 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline3', 'uuid': 'wymsiglkrahfrbgzpzmovg', 'stack': 967.8039959794651, 'state': 'participating'}, {'name': 'b10204022', 'uuid': 'mbphexlsyljkonovesrhmn', 'stack': 1029.1079919589301, 'state': 'participating'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['C3', 'C9', 'DK', 'D4', 'C8']
name: b10204022, hole_card: ['ST', 'C7']
name: baseline3, hole_card: ['C5', 'C6']
name: b10204022, hole_card: ['ST', 'C7']
name: baseline3, hole_card: ['C5', 'C6']
name: b10204022, hole_card: ['ST', 'C7']
name: baseline3, hole_card: ['C5', 'C6']
name: b10204022, hole_card: ['ST', 'C7']
name: baseline3, hole_card: ['C5', 'C6']
community cards of this round: ['C4', 'S9', 'H7', 'D7', 'DT']
name: b10204022, hole_card: ['S2', 'D3']
name: baseline3, hole_card: ['CK', 'S6']
name: b10204022, hole_card: ['S2', 'D3']
name: baseline3, hole_card: ['CK', 'S6']
community cards of this round: ['CT', 'HQ', 'HJ', 'H6', 'C7']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
name: b10204022, hole_card: ['H8', 'DK']
name: baseline3, hole_card: ['CK', 'HA']
pretty_sure_123
community cards of this round: ['D2', 'DQ', 'SQ', 'H4', 'D3']
name: b10204022, hole_card: ['H7', 'C4']
name: baseline3, hole_card: ['SJ', 'D9']
haha are you baseline4?
name: b10204022, hole_card: ['H7', 'C4']
name: baseline3, hole_card: ['SJ', 'D9']
community cards of this round: ['D5', 'C7', 'DT', 'S9', 'CT']
name: b10204022, hole_card: ['ST', 'D3']
name: baseline3, hole_card: ['H9', 'C4']
haha are you baseline4?
name: b10204022, hole_card: ['ST', 'D3']
name: baseline3, hole_card: ['H9', 'C4']
name: b10204022, hole_card: ['ST', 'D3']
name: baseline3, hole_card: ['H9', 'C4']
community cards of this round: ['CT', 'H7', 'S5', 'SJ', 'DT']
name: b10204022, hole_card: ['D4', 'HT']
name: baseline3, hole_card: ['ST', 'C7']
haha are you baseline4?
name: b10204022, hole_card: ['D4', 'HT']
name: baseline3, hole_card: ['ST', 'C7']
community cards of this round: ['DA', 'S9', 'H6', 'C9', 'C3']
name: b10204022, hole_card: ['H4', 'D8']
name: baseline3, hole_card: ['HQ', 'D9']
haha are you baseline4?
name: b10204022, hole_card: ['H4', 'D8']
name: baseline3, hole_card: ['HQ', 'D9']
name: b10204022, hole_card: ['H4', 'D8']
name: baseline3, hole_card: ['HQ', 'D9']
community cards of this round: ['H4', 'SK', 'DQ', 'H3', 'C7']
name: b10204022, hole_card: ['HA', 'DT']
name: baseline3, hole_card: ['H9', 'S9']
name: b10204022, hole_card: ['HA', 'DT']
name: baseline3, hole_card: ['H9', 'S9']
community cards of this round: ['D7', 'S9', 'SQ', 'HQ', 'CJ']
name: b10204022, hole_card: ['SJ', 'DQ']
name: baseline3, hole_card: ['H8', 'HJ']
name: b10204022, hole_card: ['SJ', 'DQ']
name: baseline3, hole_card: ['H8', 'HJ']
name: b10204022, hole_card: ['SJ', 'DQ']
name: baseline3, hole_card: ['H8', 'HJ']
community cards of this round: ['C9', 'C3', 'DK', 'D9', 'H3']
name: b10204022, hole_card: ['D6', 'S8']
name: baseline3, hole_card: ['S9', 'H4']
name: b10204022, hole_card: ['D6', 'S8']
name: baseline3, hole_card: ['S9', 'H4']
community cards of this round: ['HQ', 'H3', 'SK', 'CA', 'DQ']
name: b10204022, hole_card: ['H9', 'D8']
name: baseline3, hole_card: ['HJ', 'ST']
name: b10204022, hole_card: ['H9', 'D8']
name: baseline3, hole_card: ['HJ', 'ST']
name: b10204022, hole_card: ['H9', 'D8']
name: baseline3, hole_card: ['HJ', 'ST']
community cards of this round: ['SA', 'S2', 'DJ', 'D8', 'CA']
name: b10204022, hole_card: ['H2', 'C4']
name: baseline3, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['H2', 'C4']
name: baseline3, hole_card: ['ST', 'S3']
community cards of this round: ['H3', 'H9', 'S5', 'S9', 'S7']
name: b10204022, hole_card: ['C4', 'HA']
name: baseline3, hole_card: ['D9', 'H4']
name: b10204022, hole_card: ['C4', 'HA']
name: baseline3, hole_card: ['D9', 'H4']
name: b10204022, hole_card: ['C4', 'HA']
name: baseline3, hole_card: ['D9', 'H4']
community cards of this round: ['S3', 'D5', 'S7', 'HT', 'HK']
name: b10204022, hole_card: ['SQ', 'H4']
name: baseline3, hole_card: ['D2', 'CA']
name: b10204022, hole_card: ['SQ', 'H4']
name: baseline3, hole_card: ['D2', 'CA']
community cards of this round: ['D3', 'H9', 'CJ', 'S6', 'S7']
name: b10204022, hole_card: ['D4', 'D5']
name: baseline3, hole_card: ['S4', 'H3']
name: b10204022, hole_card: ['D4', 'D5']
name: baseline3, hole_card: ['S4', 'H3']
community cards of this round: ['S7', 'D4', 'HK', 'HJ', 'D8']
name: b10204022, hole_card: ['H2', 'CT']
name: baseline3, hole_card: ['D6', 'SJ']
name: b10204022, hole_card: ['H2', 'CT']
name: baseline3, hole_card: ['D6', 'SJ']
community cards of this round: ['C7', 'S2', 'S7', 'CA', 'D4']
name: b10204022, hole_card: ['C2', 'DT']
name: baseline3, hole_card: ['H8', 'ST']
name: b10204022, hole_card: ['C2', 'DT']
name: baseline3, hole_card: ['H8', 'ST']
name: b10204022, hole_card: ['C2', 'DT']
name: baseline3, hole_card: ['H8', 'ST']
community cards of this round: ['D9', 'CA', 'C4', 'S2', 'DK']
name: b10204022, hole_card: ['S7', 'ST']
name: baseline3, hole_card: ['S4', 'C2']
name: b10204022, hole_card: ['S7', 'ST']
name: baseline3, hole_card: ['S4', 'C2']
community cards of this round: ['ST', 'HT', 'S3', 'D7', 'D5']
name: b10204022, hole_card: ['C5', 'CK']
name: baseline3, hole_card: ['D9', 'D4']
name: b10204022, hole_card: ['C5', 'CK']
name: baseline3, hole_card: ['D9', 'D4']
name: b10204022, hole_card: ['C5', 'CK']
name: baseline3, hole_card: ['D9', 'D4']
community cards of this round: ['S8', 'HJ', 'HQ', 'D7', 'SQ']
name: b10204022, hole_card: ['D5', 'S5']
name: baseline3, hole_card: ['H5', 'H4']
name: b10204022, hole_card: ['D5', 'S5']
name: baseline3, hole_card: ['H5', 'H4']
b10204022 vs baseline3 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10204022', 'uuid': 'nduutcsfqtrsqwcvbvoitg', 'stack': 1277.0, 'state': 'participating'}, {'name': 'baseline3', 'uuid': 'vuykdduqplvwmtiiixvhoe', 'stack': 721.6471647164717, 'state': 'participating'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['CK', 'H3', 'C7', 'SJ', 'H7']
name: baseline3, hole_card: ['C3', 'D6']
name: b10204022, hole_card: ['S9', 'HT']
name: baseline3, hole_card: ['C3', 'D6']
name: b10204022, hole_card: ['S9', 'HT']
name: baseline3, hole_card: ['C3', 'D6']
name: b10204022, hole_card: ['S9', 'HT']
community cards of this round: ['H3', 'DA', 'HA', 'DK', 'D9']
name: baseline3, hole_card: ['DT', 'DQ']
name: b10204022, hole_card: ['S7', 'S8']
name: baseline3, hole_card: ['DT', 'DQ']
name: b10204022, hole_card: ['S7', 'S8']
name: baseline3, hole_card: ['DT', 'DQ']
name: b10204022, hole_card: ['S7', 'S8']
name: baseline3, hole_card: ['DT', 'DQ']
name: b10204022, hole_card: ['S7', 'S8']
name: baseline3, hole_card: ['DT', 'DQ']
name: b10204022, hole_card: ['S7', 'S8']
community cards of this round: ['S3', 'SA', 'C3', 'S5', 'S4']
name: baseline3, hole_card: ['DK', 'H4']
name: b10204022, hole_card: ['HK', 'SK']
name: baseline3, hole_card: ['DK', 'H4']
name: b10204022, hole_card: ['HK', 'SK']
name: baseline3, hole_card: ['DK', 'H4']
name: b10204022, hole_card: ['HK', 'SK']
community cards of this round: ['S2', 'SQ', 'S9', 'H2', 'S3']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
name: baseline3, hole_card: ['SJ', 'D6']
name: b10204022, hole_card: ['D4', 'C8']
community cards of this round: ['D9', 'D5', 'H3', 'H2', 'C4']
name: baseline3, hole_card: ['H5', 'C5']
name: b10204022, hole_card: ['HQ', 'C3']
name: baseline3, hole_card: ['H5', 'C5']
name: b10204022, hole_card: ['HQ', 'C3']
name: baseline3, hole_card: ['H5', 'C5']
name: b10204022, hole_card: ['HQ', 'C3']
community cards of this round: ['H2', 'C3', 'H3', 'C4', 'D6']
name: baseline3, hole_card: ['SQ', 'H7']
name: b10204022, hole_card: ['S5', 'S6']
name: baseline3, hole_card: ['SQ', 'H7']
name: b10204022, hole_card: ['S5', 'S6']
name: baseline3, hole_card: ['SQ', 'H7']
name: b10204022, hole_card: ['S5', 'S6']
name: baseline3, hole_card: ['SQ', 'H7']
name: b10204022, hole_card: ['S5', 'S6']
community cards of this round: ['D4', 'D9', 'H3', 'CT', 'HA']
name: baseline3, hole_card: ['D5', 'CQ']
name: b10204022, hole_card: ['HT', 'DA']
name: baseline3, hole_card: ['D5', 'CQ']
name: b10204022, hole_card: ['HT', 'DA']
name: baseline3, hole_card: ['D5', 'CQ']
name: b10204022, hole_card: ['HT', 'DA']
community cards of this round: ['H5', 'D5', 'H7', 'C4', 'C7']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
name: baseline3, hole_card: ['H6', 'HJ']
name: b10204022, hole_card: ['S6', 'SJ']
community cards of this round: ['D7', 'CK', 'D8', 'C7', 'H7']
name: baseline3, hole_card: ['DA', 'D2']
name: b10204022, hole_card: ['DK', 'C8']
name: baseline3, hole_card: ['DA', 'D2']
name: b10204022, hole_card: ['DK', 'C8']
community cards of this round: ['S2', 'D3', 'ST', 'SK', 'C2']
name: baseline3, hole_card: ['CQ', 'H2']
name: b10204022, hole_card: ['SQ', 'H6']
name: baseline3, hole_card: ['CQ', 'H2']
name: b10204022, hole_card: ['SQ', 'H6']
name: baseline3, hole_card: ['CQ', 'H2']
name: b10204022, hole_card: ['SQ', 'H6']
community cards of this round: ['C7', 'SA', 'D2', 'CK', 'CQ']
name: baseline3, hole_card: ['CA', 'C6']
name: b10204022, hole_card: ['D5', 'HJ']
name: baseline3, hole_card: ['CA', 'C6']
name: b10204022, hole_card: ['D5', 'HJ']
community cards of this round: ['C4', 'SK', 'D8', 'C5', 'C7']
name: baseline3, hole_card: ['C3', 'D2']
name: b10204022, hole_card: ['S6', 'S2']
name: baseline3, hole_card: ['C3', 'D2']
name: b10204022, hole_card: ['S6', 'S2']
community cards of this round: ['D6', 'DT', 'S5', 'C6', 'S6']
name: baseline3, hole_card: ['S9', 'H4']
name: b10204022, hole_card: ['C9', 'SK']
name: baseline3, hole_card: ['S9', 'H4']
name: b10204022, hole_card: ['C9', 'SK']
community cards of this round: ['H4', 'D7', 'H2', 'DA', 'SA']
name: baseline3, hole_card: ['S5', 'C2']
name: b10204022, hole_card: ['S6', 'S3']
name: baseline3, hole_card: ['S5', 'C2']
name: b10204022, hole_card: ['S6', 'S3']
community cards of this round: ['D3', 'SK', 'S6', 'DT', 'C4']
name: baseline3, hole_card: ['H9', 'S8']
name: b10204022, hole_card: ['D8', 'SQ']
name: baseline3, hole_card: ['H9', 'S8']
name: b10204022, hole_card: ['D8', 'SQ']
community cards of this round: ['CT', 'HK', 'D6', 'DT', 'C4']
name: baseline3, hole_card: ['HT', 'H7']
name: b10204022, hole_card: ['S3', 'C3']
name: baseline3, hole_card: ['HT', 'H7']
name: b10204022, hole_card: ['S3', 'C3']
name: baseline3, hole_card: ['HT', 'H7']
name: b10204022, hole_card: ['S3', 'C3']
community cards of this round: ['DA', 'C9', 'C6', 'HJ', 'C7']
name: baseline3, hole_card: ['D4', 'S2']
name: b10204022, hole_card: ['H4', 'H8']
name: baseline3, hole_card: ['D4', 'S2']
name: b10204022, hole_card: ['H4', 'H8']
community cards of this round: ['C3', 'C7', 'C6', 'S8', 'SA']
name: baseline3, hole_card: ['D4', 'H9']
name: b10204022, hole_card: ['S9', 'S7']
name: baseline3, hole_card: ['D4', 'H9']
name: b10204022, hole_card: ['S9', 'S7']
name: baseline3, hole_card: ['D4', 'H9']
name: b10204022, hole_card: ['S9', 'S7']
community cards of this round: ['S3', 'C7', 'HJ', 'HK', 'CT']
name: baseline3, hole_card: ['D9', 'H9']
name: b10204022, hole_card: ['S4', 'HA']
name: baseline3, hole_card: ['D9', 'H9']
name: b10204022, hole_card: ['S4', 'HA']
community cards of this round: ['D4', 'DK', 'DQ', 'SQ', 'H4']
name: baseline3, hole_card: ['S9', 'DT']
name: b10204022, hole_card: ['D7', 'S7']
name: baseline3, hole_card: ['S9', 'DT']
name: b10204022, hole_card: ['D7', 'S7']
name: baseline3, hole_card: ['S9', 'DT']
name: b10204022, hole_card: ['D7', 'S7']
b10204022 vs baseline3 - Game 5: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline3', 'uuid': 'ljzntyfgjxvtvpxdusadct', 'stack': 948.0549590593115, 'state': 'participating'}, {'name': 'b10204022', 'uuid': 'aqpaudswethyjpqablztul', 'stack': 1049.6621765167074, 'state': 'participating'}]}
b10204022 vs baseline3 - Match Result: 2 games won, 3.0 points earned
蛤蛤蛤我是誰我在哪
community cards of this round: ['H8', 'C3', 'HT', 'HQ', 'C9']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
name: baseline4, hole_card: ['S4', 'C5']
name: b10204022, hole_card: ['C7', 'H5']
community cards of this round: ['C6', 'S4', 'H3', 'D9', 'D7']
name: baseline4, hole_card: ['CQ', 'C8']
name: b10204022, hole_card: ['ST', 'S3']
name: baseline4, hole_card: ['CQ', 'C8']
name: b10204022, hole_card: ['ST', 'S3']
name: baseline4, hole_card: ['CQ', 'C8']
name: b10204022, hole_card: ['ST', 'S3']
community cards of this round: ['ST', 'D8', 'C7', 'C5', 'D2']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
name: baseline4, hole_card: ['H5', 'HA']
name: b10204022, hole_card: ['DQ', 'DJ']
community cards of this round: ['C3', 'H8', 'D5', 'S9', 'CK']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
haha are you baseline4?
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
name: baseline4, hole_card: ['DT', 'H7']
name: b10204022, hole_card: ['HJ', 'C2']
community cards of this round: ['H9', 'S6', 'D2', 'C9', 'S2']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
name: baseline4, hole_card: ['CJ', 'H8']
name: b10204022, hole_card: ['ST', 'H3']
community cards of this round: ['S6', 'C8', 'D5', 'D8', 'C2']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
name: baseline4, hole_card: ['CQ', 'H3']
name: b10204022, hole_card: ['C6', 'S7']
community cards of this round: ['S3', 'HA', 'SQ', 'CT', 'CQ']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
name: baseline4, hole_card: ['DJ', 'CJ']
name: b10204022, hole_card: ['ST', 'HK']
b10204022 vs baseline4 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline4', 'uuid': 'dbfpkehballumljopzejta', 'stack': 1990.0, 'state': 'participating'}, {'name': 'b10204022', 'uuid': 'vhglogbcqhjfltneqddkxj', 'stack': 0, 'state': 'folded'}]}
蛤蛤蛤我是誰我在哪
community cards of this round: ['H8', 'C3', 'HT', 'HQ', 'C9']
name: b10204022, hole_card: ['S4', 'C5']
name: baseline4, hole_card: ['C7', 'H5']
name: b10204022, hole_card: ['S4', 'C5']
name: baseline4, hole_card: ['C7', 'H5']
name: b10204022, hole_card: ['S4', 'C5']
name: baseline4, hole_card: ['C7', 'H5']
name: b10204022, hole_card: ['S4', 'C5']
name: baseline4, hole_card: ['C7', 'H5']
community cards of this round: ['C6', 'S4', 'H3', 'D9', 'D7']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
name: b10204022, hole_card: ['CQ', 'C8']
name: baseline4, hole_card: ['ST', 'S3']
community cards of this round: ['ST', 'D8', 'C7', 'C5', 'D2']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
name: b10204022, hole_card: ['H5', 'HA']
name: baseline4, hole_card: ['DQ', 'DJ']
community cards of this round: ['C3', 'H8', 'D5', 'S9', 'CK']
name: b10204022, hole_card: ['DT', 'H7']
name: baseline4, hole_card: ['HJ', 'C2']
haha are you baseline4?
name: b10204022, hole_card: ['DT', 'H7']
name: baseline4, hole_card: ['HJ', 'C2']
community cards of this round: ['H9', 'S6', 'D2', 'C9', 'S2']
name: b10204022, hole_card: ['CJ', 'H8']
name: baseline4, hole_card: ['ST', 'H3']
haha are you baseline4?
name: b10204022, hole_card: ['CJ', 'H8']
name: baseline4, hole_card: ['ST', 'H3']
name: b10204022, hole_card: ['CJ', 'H8']
name: baseline4, hole_card: ['ST', 'H3']
community cards of this round: ['S6', 'C8', 'D5', 'D8', 'C2']
name: b10204022, hole_card: ['CQ', 'H3']
name: baseline4, hole_card: ['C6', 'S7']
haha are you baseline4?
name: b10204022, hole_card: ['CQ', 'H3']
name: baseline4, hole_card: ['C6', 'S7']
community cards of this round: ['S3', 'HA', 'SQ', 'CT', 'CQ']
name: b10204022, hole_card: ['DJ', 'CJ']
name: baseline4, hole_card: ['ST', 'HK']
haha are you baseline4?
name: b10204022, hole_card: ['DJ', 'CJ']
name: baseline4, hole_card: ['ST', 'HK']
name: b10204022, hole_card: ['DJ', 'CJ']
name: baseline4, hole_card: ['ST', 'HK']
community cards of this round: ['C8', 'H6', 'H2', 'S5', 'H8']
name: b10204022, hole_card: ['SQ', 'S3']
name: baseline4, hole_card: ['S2', 'H7']
haha are you baseline4?
name: b10204022, hole_card: ['SQ', 'S3']
name: baseline4, hole_card: ['S2', 'H7']
community cards of this round: ['S3', 'S2', 'HA', 'HQ', 'S5']
name: b10204022, hole_card: ['H7', 'S8']
name: baseline4, hole_card: ['H8', 'HT']
haha are you baseline4?
name: b10204022, hole_card: ['H7', 'S8']
name: baseline4, hole_card: ['H8', 'HT']
name: b10204022, hole_card: ['H7', 'S8']
name: baseline4, hole_card: ['H8', 'HT']
community cards of this round: ['S4', 'HQ', 'C5', 'D7', 'DQ']
name: b10204022, hole_card: ['ST', 'SJ']
name: baseline4, hole_card: ['HJ', 'CQ']
haha are you baseline4?
name: b10204022, hole_card: ['ST', 'SJ']
name: baseline4, hole_card: ['HJ', 'CQ']
community cards of this round: ['D8', 'SQ', 'C3', 'C2', 'D9']
name: b10204022, hole_card: ['ST', 'S3']
name: baseline4, hole_card: ['D7', 'S5']
haha are you baseline4?
name: b10204022, hole_card: ['ST', 'S3']
name: baseline4, hole_card: ['D7', 'S5']
name: b10204022, hole_card: ['ST', 'S3']
name: baseline4, hole_card: ['D7', 'S5']
community cards of this round: ['S8', 'C8', 'H7', 'C9', 'C5']
name: b10204022, hole_card: ['ST', 'C4']
name: baseline4, hole_card: ['H8', 'SQ']
haha are you baseline4?
name: b10204022, hole_card: ['ST', 'C4']
name: baseline4, hole_card: ['H8', 'SQ']
community cards of this round: ['H7', 'SK', 'H6', 'H9', 'H8']
name: b10204022, hole_card: ['H4', 'S2']
name: baseline4, hole_card: ['DJ', 'D5']
haha are you baseline4?
name: b10204022, hole_card: ['H4', 'S2']
name: baseline4, hole_card: ['DJ', 'D5']
name: b10204022, hole_card: ['H4', 'S2']
name: baseline4, hole_card: ['DJ', 'D5']
community cards of this round: ['S9', 'CJ', 'C5', 'C4', 'H9']
name: b10204022, hole_card: ['C3', 'H2']
name: baseline4, hole_card: ['D6', 'CT']
haha are you baseline4?
name: b10204022, hole_card: ['C3', 'H2']
name: baseline4, hole_card: ['D6', 'CT']
community cards of this round: ['C6', 'DQ', 'D9', 'CA', 'C4']
name: b10204022, hole_card: ['HA', 'D5']
name: baseline4, hole_card: ['D3', 'S3']
haha are you baseline4?
name: b10204022, hole_card: ['HA', 'D5']
name: baseline4, hole_card: ['D3', 'S3']
name: b10204022, hole_card: ['HA', 'D5']
name: baseline4, hole_card: ['D3', 'S3']
community cards of this round: ['SJ', 'CK', 'HT', 'HQ', 'S2']
name: b10204022, hole_card: ['DJ', 'D9']
name: baseline4, hole_card: ['ST', 'DK']
haha are you baseline4?
name: b10204022, hole_card: ['DJ', 'D9']
