community cards of this round: ['HA', 'H3', 'H9', 'D4', 'C6']
name: baseline1, hole_card: ['CT', 'S4']
name: baseline2, hole_card: ['SJ', 'H9']
name: b10202024, hole_card: ['SQ', 'C4']
name: baseline2, hole_card: ['SJ', 'H9']
name: b10202024, hole_card: ['SQ', 'C4']
name: baseline2, hole_card: ['SJ', 'H9']
community cards of this round: ['SA', 'C5', 'H9', 'S4', 'C7']
name: b10202024, hole_card: ['D9', 'CK']
name: baseline2, hole_card: ['S8', 'S9']
name: b10202024, hole_card: ['D9', 'CK']
name: baseline2, hole_card: ['S8', 'S9']
b10202024 vs baseline2 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10202024', 'uuid': 'ilnapwxnwwssbxakqzcdag', 'stack': 1850, 'state': 'participating'}, {'name': 'baseline2', 'uuid': 'xyooybvjtvitkwnxzezrqk', 'stack': 150, 'state': 'participating'}]}
community cards of this round: ['C9', 'CK', 'H4', 'C3', 'S2']
name: baseline2, hole_card: ['D2', 'D6']
name: b10202024, hole_card: ['H7', 'H8']
name: baseline2, hole_card: ['D2', 'D6']
name: b10202024, hole_card: ['H7', 'H8']
name: baseline2, hole_card: ['D2', 'D6']
name: b10202024, hole_card: ['H7', 'H8']
name: baseline2, hole_card: ['D2', 'D6']
name: b10202024, hole_card: ['H7', 'H8']
name: baseline2, hole_card: ['D2', 'D6']
name: b10202024, hole_card: ['H7', 'H8']
community cards of this round: ['S6', 'CQ', 'S8', 'C4', 'DQ']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
name: baseline2, hole_card: ['CA', 'D3']
name: b10202024, hole_card: ['HA', 'HK']
community cards of this round: ['S7', 'D3', 'S8', 'DT', 'CT']
name: baseline2, hole_card: ['H2', 'SJ']
name: b10202024, hole_card: ['S5', 'H8']
name: baseline2, hole_card: ['H2', 'SJ']
name: b10202024, hole_card: ['S5', 'H8']
name: baseline2, hole_card: ['H2', 'SJ']
name: b10202024, hole_card: ['S5', 'H8']
name: baseline2, hole_card: ['H2', 'SJ']
name: b10202024, hole_card: ['S5', 'H8']
name: baseline2, hole_card: ['H2', 'SJ']
name: b10202024, hole_card: ['S5', 'H8']
b10202024 vs baseline2 - Game 5: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline2', 'uuid': 'bpfbqoxduzulotxujpdmrj', 'stack': 0, 'state': 'folded'}, {'name': 'b10202024', 'uuid': 'uwbpgqmfbjoqlsbzyvicxr', 'stack': 2000, 'state': 'participating'}]}
b10202024 vs baseline2 - Match Result: 2 games won, 3.0 points earned
community cards of this round: ['HK', 'H2', 'D4', 'H8', 'D2']
name: baseline3, hole_card: ['S8', 'SQ']
name: b10202024, hole_card: ['HA', 'S2']
name: baseline3, hole_card: ['S8', 'SQ']
name: b10202024, hole_card: ['HA', 'S2']
name: baseline3, hole_card: ['S8', 'SQ']
name: b10202024, hole_card: ['HA', 'S2']
community cards of this round: ['D7', 'SK', 'H4', 'S8', 'HA']
name: baseline3, hole_card: ['D5', 'H9']
name: b10202024, hole_card: ['DJ', 'HQ']
name: baseline3, hole_card: ['D5', 'H9']
name: b10202024, hole_card: ['DJ', 'HQ']
name: baseline3, hole_card: ['D5', 'H9']
name: b10202024, hole_card: ['DJ', 'HQ']
name: baseline3, hole_card: ['D5', 'H9']
name: b10202024, hole_card: ['DJ', 'HQ']
community cards of this round: ['DJ', 'D9', 'C2', 'CA', 'ST']
name: baseline3, hole_card: ['HA', 'S7']
name: b10202024, hole_card: ['C9', 'S4']
name: baseline3, hole_card: ['HA', 'S7']
name: b10202024, hole_card: ['C9', 'S4']
name: baseline3, hole_card: ['HA', 'S7']
name: b10202024, hole_card: ['C9', 'S4']
name: baseline3, hole_card: ['HA', 'S7']
name: b10202024, hole_card: ['C9', 'S4']
name: baseline3, hole_card: ['HA', 'S7']
name: b10202024, hole_card: ['C9', 'S4']
community cards of this round: ['H8', 'C7', 'C4', 'S3', 'DA']
name: baseline3, hole_card: ['CJ', 'D8']
name: b10202024, hole_card: ['H4', 'HK']
name: baseline3, hole_card: ['CJ', 'D8']
name: b10202024, hole_card: ['H4', 'HK']
name: baseline3, hole_card: ['CJ', 'D8']
name: b10202024, hole_card: ['H4', 'HK']
name: baseline3, hole_card: ['CJ', 'D8']
name: b10202024, hole_card: ['H4', 'HK']
community cards of this round: ['H6', 'S4', 'CJ', 'CK', 'CQ']
name: baseline3, hole_card: ['D8', 'H9']
name: b10202024, hole_card: ['D6', 'D4']
name: baseline3, hole_card: ['D8', 'H9']
name: b10202024, hole_card: ['D6', 'D4']
name: baseline3, hole_card: ['D8', 'H9']
name: b10202024, hole_card: ['D6', 'D4']
community cards of this round: ['S9', 'DQ', 'SJ', 'S5', 'CT']
name: baseline3, hole_card: ['S4', 'H5']
name: b10202024, hole_card: ['CJ', 'SA']
name: baseline3, hole_card: ['S4', 'H5']
name: b10202024, hole_card: ['CJ', 'SA']
name: baseline3, hole_card: ['S4', 'H5']
name: b10202024, hole_card: ['CJ', 'SA']
name: baseline3, hole_card: ['S4', 'H5']
name: b10202024, hole_card: ['CJ', 'SA']
community cards of this round: ['C6', 'C8', 'DK', 'C3', 'S5']
name: baseline3, hole_card: ['H8', 'C4']
name: b10202024, hole_card: ['HK', 'S6']
name: baseline3, hole_card: ['H8', 'C4']
name: b10202024, hole_card: ['HK', 'S6']
name: baseline3, hole_card: ['H8', 'C4']
name: b10202024, hole_card: ['HK', 'S6']
community cards of this round: ['CQ', 'C7', 'S6', 'CT', 'C6']
name: baseline3, hole_card: ['H6', 'CA']
name: b10202024, hole_card: ['SQ', 'D7']
name: baseline3, hole_card: ['H6', 'CA']
name: b10202024, hole_card: ['SQ', 'D7']
name: baseline3, hole_card: ['H6', 'CA']
name: b10202024, hole_card: ['SQ', 'D7']
name: baseline3, hole_card: ['H6', 'CA']
name: b10202024, hole_card: ['SQ', 'D7']
community cards of this round: ['S7', 'C5', 'HT', 'D2', 'HA']
name: baseline3, hole_card: ['C7', 'D6']
name: b10202024, hole_card: ['S8', 'H3']
name: baseline3, hole_card: ['C7', 'D6']
name: b10202024, hole_card: ['S8', 'H3']
name: baseline3, hole_card: ['C7', 'D6']
name: b10202024, hole_card: ['S8', 'H3']
name: baseline3, hole_card: ['C7', 'D6']
name: b10202024, hole_card: ['S8', 'H3']
community cards of this round: ['H9', 'S8', 'C2', 'HA', 'D5']
name: baseline3, hole_card: ['D8', 'D9']
name: b10202024, hole_card: ['CA', 'DK']
name: baseline3, hole_card: ['D8', 'D9']
name: b10202024, hole_card: ['CA', 'DK']
name: baseline3, hole_card: ['D8', 'D9']
name: b10202024, hole_card: ['CA', 'DK']
name: baseline3, hole_card: ['D8', 'D9']
name: b10202024, hole_card: ['CA', 'DK']
community cards of this round: ['C3', 'C9', 'D7', 'S7', 'C4']
name: baseline3, hole_card: ['DJ', 'D3']
name: b10202024, hole_card: ['H3', 'CK']
name: baseline3, hole_card: ['DJ', 'D3']
name: b10202024, hole_card: ['H3', 'CK']
name: baseline3, hole_card: ['DJ', 'D3']
name: b10202024, hole_card: ['H3', 'CK']
community cards of this round: ['DQ', 'H7', 'CJ', 'D7', 'S3']
name: baseline3, hole_card: ['S2', 'DA']
name: b10202024, hole_card: ['C2', 'D5']
name: baseline3, hole_card: ['S2', 'DA']
name: b10202024, hole_card: ['C2', 'D5']
name: baseline3, hole_card: ['S2', 'DA']
name: b10202024, hole_card: ['C2', 'D5']
community cards of this round: ['C4', 'C2', 'D2', 'CJ', 'H2']
name: baseline3, hole_card: ['C3', 'SA']
name: b10202024, hole_card: ['SQ', 'D7']
name: baseline3, hole_card: ['C3', 'SA']
name: b10202024, hole_card: ['SQ', 'D7']
community cards of this round: ['D8', 'H8', 'ST', 'C9', 'CQ']
name: baseline3, hole_card: ['CJ', 'DT']
name: b10202024, hole_card: ['H9', 'SA']
name: baseline3, hole_card: ['CJ', 'DT']
name: b10202024, hole_card: ['H9', 'SA']
name: baseline3, hole_card: ['CJ', 'DT']
name: b10202024, hole_card: ['H9', 'SA']
community cards of this round: ['H2', 'C3', 'C6', 'DA', 'C5']
name: baseline3, hole_card: ['S5', 'D7']
name: b10202024, hole_card: ['C8', 'S4']
name: baseline3, hole_card: ['S5', 'D7']
name: b10202024, hole_card: ['C8', 'S4']
community cards of this round: ['D8', 'HA', 'SA', 'H2', 'H5']
name: baseline3, hole_card: ['ST', 'HQ']
name: b10202024, hole_card: ['S8', 'C6']
name: baseline3, hole_card: ['ST', 'HQ']
name: b10202024, hole_card: ['S8', 'C6']
name: baseline3, hole_card: ['ST', 'HQ']
name: b10202024, hole_card: ['S8', 'C6']
community cards of this round: ['CK', 'SJ', 'CT', 'H4', 'H7']
name: baseline3, hole_card: ['C9', 'ST']
name: b10202024, hole_card: ['C5', 'SK']
name: baseline3, hole_card: ['C9', 'ST']
name: b10202024, hole_card: ['C5', 'SK']
community cards of this round: ['DJ', 'C2', 'DT', 'DK', 'HT']
name: baseline3, hole_card: ['C3', 'SK']
name: b10202024, hole_card: ['D3', 'H8']
name: baseline3, hole_card: ['C3', 'SK']
name: b10202024, hole_card: ['D3', 'H8']
name: baseline3, hole_card: ['C3', 'SK']
name: b10202024, hole_card: ['D3', 'H8']
community cards of this round: ['D7', 'HJ', 'D2', 'D4', 'ST']
name: baseline3, hole_card: ['H5', 'S5']
name: b10202024, hole_card: ['C9', 'HT']
name: baseline3, hole_card: ['H5', 'S5']
name: b10202024, hole_card: ['C9', 'HT']
community cards of this round: ['C7', 'S3', 'C9', 'S2', 'C3']
name: baseline3, hole_card: ['D9', 'S6']
name: b10202024, hole_card: ['H7', 'HQ']
name: baseline3, hole_card: ['D9', 'S6']
name: b10202024, hole_card: ['H7', 'HQ']
name: baseline3, hole_card: ['D9', 'S6']
name: b10202024, hole_card: ['H7', 'HQ']
b10202024 vs baseline3 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline3', 'uuid': 'xmqmwecfkoggjbcgrggajb', 'stack': 980, 'state': 'participating'}, {'name': 'b10202024', 'uuid': 'jizsdeyklywvbqqmzebiru', 'stack': 1020, 'state': 'participating'}]}
community cards of this round: ['HK', 'H2', 'D4', 'H8', 'D2']
name: b10202024, hole_card: ['S8', 'SQ']
name: baseline3, hole_card: ['HA', 'S2']
name: b10202024, hole_card: ['S8', 'SQ']
name: baseline3, hole_card: ['HA', 'S2']
name: b10202024, hole_card: ['S8', 'SQ']
name: baseline3, hole_card: ['HA', 'S2']
name: b10202024, hole_card: ['S8', 'SQ']
name: baseline3, hole_card: ['HA', 'S2']
community cards of this round: ['D7', 'SK', 'H4', 'S8', 'HA']
name: b10202024, hole_card: ['D5', 'H9']
name: baseline3, hole_card: ['DJ', 'HQ']
name: b10202024, hole_card: ['D5', 'H9']
name: baseline3, hole_card: ['DJ', 'HQ']
name: b10202024, hole_card: ['D5', 'H9']
name: baseline3, hole_card: ['DJ', 'HQ']
community cards of this round: ['DJ', 'D9', 'C2', 'CA', 'ST']
name: b10202024, hole_card: ['HA', 'S7']
name: baseline3, hole_card: ['C9', 'S4']
name: b10202024, hole_card: ['HA', 'S7']
name: baseline3, hole_card: ['C9', 'S4']
name: b10202024, hole_card: ['HA', 'S7']
name: baseline3, hole_card: ['C9', 'S4']
name: b10202024, hole_card: ['HA', 'S7']
name: baseline3, hole_card: ['C9', 'S4']
community cards of this round: ['H8', 'C7', 'C4', 'S3', 'DA']
name: b10202024, hole_card: ['CJ', 'D8']
name: baseline3, hole_card: ['H4', 'HK']
name: b10202024, hole_card: ['CJ', 'D8']
name: baseline3, hole_card: ['H4', 'HK']
name: b10202024, hole_card: ['CJ', 'D8']
name: baseline3, hole_card: ['H4', 'HK']
community cards of this round: ['H6', 'S4', 'CJ', 'CK', 'CQ']
name: b10202024, hole_card: ['D8', 'H9']
name: baseline3, hole_card: ['D6', 'D4']
name: b10202024, hole_card: ['D8', 'H9']
name: baseline3, hole_card: ['D6', 'D4']
name: b10202024, hole_card: ['D8', 'H9']
name: baseline3, hole_card: ['D6', 'D4']
name: b10202024, hole_card: ['D8', 'H9']
name: baseline3, hole_card: ['D6', 'D4']
community cards of this round: ['S9', 'DQ', 'SJ', 'S5', 'CT']
name: b10202024, hole_card: ['S4', 'H5']
name: baseline3, hole_card: ['CJ', 'SA']
name: b10202024, hole_card: ['S4', 'H5']
name: baseline3, hole_card: ['CJ', 'SA']
name: b10202024, hole_card: ['S4', 'H5']
name: baseline3, hole_card: ['CJ', 'SA']
name: b10202024, hole_card: ['S4', 'H5']
name: baseline3, hole_card: ['CJ', 'SA']
community cards of this round: ['C6', 'C8', 'DK', 'C3', 'S5']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
name: b10202024, hole_card: ['H8', 'C4']
name: baseline3, hole_card: ['HK', 'S6']
community cards of this round: ['CQ', 'C7', 'S6', 'CT', 'C6']
name: b10202024, hole_card: ['H6', 'CA']
name: baseline3, hole_card: ['SQ', 'D7']
name: b10202024, hole_card: ['H6', 'CA']
name: baseline3, hole_card: ['SQ', 'D7']
community cards of this round: ['S7', 'C5', 'HT', 'D2', 'HA']
name: b10202024, hole_card: ['C7', 'D6']
name: baseline3, hole_card: ['S8', 'H3']
name: b10202024, hole_card: ['C7', 'D6']
name: baseline3, hole_card: ['S8', 'H3']
name: b10202024, hole_card: ['C7', 'D6']
name: baseline3, hole_card: ['S8', 'H3']
community cards of this round: ['H9', 'S8', 'C2', 'HA', 'D5']
name: b10202024, hole_card: ['D8', 'D9']
name: baseline3, hole_card: ['CA', 'DK']
name: b10202024, hole_card: ['D8', 'D9']
name: baseline3, hole_card: ['CA', 'DK']
community cards of this round: ['C3', 'C9', 'D7', 'S7', 'C4']
name: b10202024, hole_card: ['DJ', 'D3']
name: baseline3, hole_card: ['H3', 'CK']
name: b10202024, hole_card: ['DJ', 'D3']
name: baseline3, hole_card: ['H3', 'CK']
name: b10202024, hole_card: ['DJ', 'D3']
name: baseline3, hole_card: ['H3', 'CK']
community cards of this round: ['DQ', 'H7', 'CJ', 'D7', 'S3']
name: b10202024, hole_card: ['S2', 'DA']
name: baseline3, hole_card: ['C2', 'D5']
name: b10202024, hole_card: ['S2', 'DA']
name: baseline3, hole_card: ['C2', 'D5']
community cards of this round: ['C4', 'C2', 'D2', 'CJ', 'H2']
name: b10202024, hole_card: ['C3', 'SA']
name: baseline3, hole_card: ['SQ', 'D7']
name: b10202024, hole_card: ['C3', 'SA']
name: baseline3, hole_card: ['SQ', 'D7']
name: b10202024, hole_card: ['C3', 'SA']
name: baseline3, hole_card: ['SQ', 'D7']
community cards of this round: ['D8', 'H8', 'ST', 'C9', 'CQ']
name: b10202024, hole_card: ['CJ', 'DT']
name: baseline3, hole_card: ['H9', 'SA']
name: b10202024, hole_card: ['CJ', 'DT']
name: baseline3, hole_card: ['H9', 'SA']
community cards of this round: ['H2', 'C3', 'C6', 'DA', 'C5']
name: b10202024, hole_card: ['S5', 'D7']
name: baseline3, hole_card: ['C8', 'S4']
name: b10202024, hole_card: ['S5', 'D7']
name: baseline3, hole_card: ['C8', 'S4']
name: b10202024, hole_card: ['S5', 'D7']
name: baseline3, hole_card: ['C8', 'S4']
community cards of this round: ['D8', 'HA', 'SA', 'H2', 'H5']
name: b10202024, hole_card: ['ST', 'HQ']
name: baseline3, hole_card: ['S8', 'C6']
name: b10202024, hole_card: ['ST', 'HQ']
name: baseline3, hole_card: ['S8', 'C6']
community cards of this round: ['CK', 'SJ', 'CT', 'H4', 'H7']
name: b10202024, hole_card: ['C9', 'ST']
name: baseline3, hole_card: ['C5', 'SK']
name: b10202024, hole_card: ['C9', 'ST']
name: baseline3, hole_card: ['C5', 'SK']
name: b10202024, hole_card: ['C9', 'ST']
name: baseline3, hole_card: ['C5', 'SK']
community cards of this round: ['DJ', 'C2', 'DT', 'DK', 'HT']
name: b10202024, hole_card: ['C3', 'SK']
name: baseline3, hole_card: ['D3', 'H8']
name: b10202024, hole_card: ['C3', 'SK']
name: baseline3, hole_card: ['D3', 'H8']
community cards of this round: ['D7', 'HJ', 'D2', 'D4', 'ST']
name: b10202024, hole_card: ['H5', 'S5']
name: baseline3, hole_card: ['C9', 'HT']
name: b10202024, hole_card: ['H5', 'S5']
name: baseline3, hole_card: ['C9', 'HT']
name: b10202024, hole_card: ['H5', 'S5']
name: baseline3, hole_card: ['C9', 'HT']
community cards of this round: ['C7', 'S3', 'C9', 'S2', 'C3']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline3, hole_card: ['H7', 'HQ']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline3, hole_card: ['H7', 'HQ']
b10202024 vs baseline3 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10202024', 'uuid': 'soosceseinqzkwbsikgenl', 'stack': 1193.5, 'state': 'participating'}, {'name': 'baseline3', 'uuid': 'rfgouyetfmsansqpmcdllz', 'stack': 806.25, 'state': 'participating'}]}
community cards of this round: ['D4', 'H8', 'H4', 'H9', 'D8']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline3, hole_card: ['SA', 'HJ']
name: b10202024, hole_card: ['HA', 'C9']
b10202024 vs baseline3 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline3', 'uuid': 'jgbufuoesetpwrevjrloqe', 'stack': 0, 'state': 'folded'}, {'name': 'b10202024', 'uuid': 'nwxqkngiumsaqhtheajzrs', 'stack': 2000, 'state': 'participating'}]}
community cards of this round: ['D4', 'H8', 'H4', 'H9', 'D8']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
name: b10202024, hole_card: ['SA', 'HJ']
name: baseline3, hole_card: ['HA', 'C9']
community cards of this round: ['SA', 'H9', 'H4', 'D7', 'HT']
name: b10202024, hole_card: ['DQ', 'HQ']
name: baseline3, hole_card: ['C6', 'C7']
name: b10202024, hole_card: ['DQ', 'HQ']
name: baseline3, hole_card: ['C6', 'C7']
name: b10202024, hole_card: ['DQ', 'HQ']
name: baseline3, hole_card: ['C6', 'C7']
community cards of this round: ['D9', 'D4', 'C9', 'SK', 'C7']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
name: b10202024, hole_card: ['HJ', 'D7']
name: baseline3, hole_card: ['HA', 'HK']
community cards of this round: ['H3', 'D9', 'DQ', 'SQ', 'S5']
name: b10202024, hole_card: ['HQ', 'D5']
name: baseline3, hole_card: ['D2', 'S4']
name: b10202024, hole_card: ['HQ', 'D5']
name: baseline3, hole_card: ['D2', 'S4']
name: b10202024, hole_card: ['HQ', 'D5']
name: baseline3, hole_card: ['D2', 'S4']
community cards of this round: ['C9', 'S2', 'D9', 'CA', 'H7']
name: b10202024, hole_card: ['D2', 'C2']
name: baseline3, hole_card: ['DK', 'HQ']
name: b10202024, hole_card: ['D2', 'C2']
name: baseline3, hole_card: ['DK', 'HQ']
community cards of this round: ['D9', 'CT', 'HT', 'D8', 'CJ']
name: b10202024, hole_card: ['S3', 'S6']
name: baseline3, hole_card: ['C6', 'DA']
name: b10202024, hole_card: ['S3', 'S6']
name: baseline3, hole_card: ['C6', 'DA']
name: b10202024, hole_card: ['S3', 'S6']
name: baseline3, hole_card: ['C6', 'DA']
community cards of this round: ['CQ', 'D6', 'D2', 'H9', 'S5']
name: b10202024, hole_card: ['CT', 'S8']
name: baseline3, hole_card: ['HA', 'S9']
name: b10202024, hole_card: ['CT', 'S8']
name: baseline3, hole_card: ['HA', 'S9']
community cards of this round: ['H4', 'H9', 'HK', 'C4', 'ST']
name: b10202024, hole_card: ['CJ', 'DJ']
name: baseline3, hole_card: ['H3', 'D8']
name: b10202024, hole_card: ['CJ', 'DJ']
name: baseline3, hole_card: ['H3', 'D8']
name: b10202024, hole_card: ['CJ', 'DJ']
name: baseline3, hole_card: ['H3', 'D8']
community cards of this round: ['C8', 'S3', 'S2', 'D7', 'D2']
name: b10202024, hole_card: ['D5', 'CQ']
name: baseline3, hole_card: ['HA', 'D6']
name: b10202024, hole_card: ['D5', 'CQ']
name: baseline3, hole_card: ['HA', 'D6']
community cards of this round: ['D3', 'H4', 'HQ', 'HT', 'D6']
name: b10202024, hole_card: ['D9', 'S9']
name: baseline3, hole_card: ['S4', 'H7']
name: b10202024, hole_card: ['D9', 'S9']
name: baseline3, hole_card: ['S4', 'H7']
name: b10202024, hole_card: ['D9', 'S9']
name: baseline3, hole_card: ['S4', 'H7']
community cards of this round: ['S5', 'HA', 'DQ', 'ST', 'D2']
name: b10202024, hole_card: ['D7', 'CA']
name: baseline3, hole_card: ['H9', 'S3']
name: b10202024, hole_card: ['D7', 'CA']
name: baseline3, hole_card: ['H9', 'S3']
community cards of this round: ['C3', 'CJ', 'H5', 'S6', 'S8']
name: b10202024, hole_card: ['ST', 'HQ']
name: baseline3, hole_card: ['DK', 'HA']
name: b10202024, hole_card: ['ST', 'HQ']
name: baseline3, hole_card: ['DK', 'HA']
name: b10202024, hole_card: ['ST', 'HQ']
name: baseline3, hole_card: ['DK', 'HA']
community cards of this round: ['D5', 'H2', 'D3', 'CK', 'HT']
name: b10202024, hole_card: ['S3', 'S2']
name: baseline3, hole_card: ['S7', 'D6']
name: b10202024, hole_card: ['S3', 'S2']
name: baseline3, hole_card: ['S7', 'D6']
community cards of this round: ['S5', 'C5', 'S9', 'HK', 'S6']
name: b10202024, hole_card: ['D8', 'DQ']
name: baseline3, hole_card: ['CQ', 'C3']
name: b10202024, hole_card: ['D8', 'DQ']
name: baseline3, hole_card: ['CQ', 'C3']
name: b10202024, hole_card: ['D8', 'DQ']
name: baseline3, hole_card: ['CQ', 'C3']
community cards of this round: ['ST', 'CA', 'H3', 'HA', 'H6']
name: b10202024, hole_card: ['D7', 'C4']
name: baseline3, hole_card: ['SQ', 'S4']
name: b10202024, hole_card: ['D7', 'C4']
name: baseline3, hole_card: ['SQ', 'S4']
community cards of this round: ['ST', 'D6', 'C8', 'CJ', 'H2']
name: b10202024, hole_card: ['DK', 'C2']
name: baseline3, hole_card: ['H4', 'HQ']
name: b10202024, hole_card: ['DK', 'C2']
name: baseline3, hole_card: ['H4', 'HQ']
name: b10202024, hole_card: ['DK', 'C2']
name: baseline3, hole_card: ['H4', 'HQ']
community cards of this round: ['H3', 'H5', 'CJ', 'S3', 'SA']
name: b10202024, hole_card: ['SQ', 'S7']
name: baseline3, hole_card: ['S8', 'D2']
name: b10202024, hole_card: ['SQ', 'S7']
name: baseline3, hole_card: ['S8', 'D2']
community cards of this round: ['DJ', 'DA', 'H7', 'CQ', 'S2']
name: b10202024, hole_card: ['HA', 'S6']
name: baseline3, hole_card: ['SJ', 'CJ']
name: b10202024, hole_card: ['HA', 'S6']
name: baseline3, hole_card: ['SJ', 'CJ']
name: b10202024, hole_card: ['HA', 'S6']
name: baseline3, hole_card: ['SJ', 'CJ']
community cards of this round: ['SQ', 'C7', 'D4', 'DJ', 'H5']
name: b10202024, hole_card: ['SJ', 'H8']
name: baseline3, hole_card: ['D5', 'C8']
name: b10202024, hole_card: ['SJ', 'H8']
name: baseline3, hole_card: ['D5', 'C8']
community cards of this round: ['C7', 'SJ', 'S4', 'SK', 'D9']
name: b10202024, hole_card: ['HJ', 'D3']
name: baseline3, hole_card: ['HA', 'DT']
name: b10202024, hole_card: ['HJ', 'D3']
name: baseline3, hole_card: ['HA', 'DT']
name: b10202024, hole_card: ['HJ', 'D3']
name: baseline3, hole_card: ['HA', 'DT']
b10202024 vs baseline3 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10202024', 'uuid': 'voxkgtkqszyrxfuieaceuu', 'stack': 645.0, 'state': 'participating'}, {'name': 'baseline3', 'uuid': 'ujxofgcqbcajuhfipebfdv', 'stack': 1355.0, 'state': 'participating'}]}
b10202024 vs baseline3 - Match Result: 1 games won, 1.5 points earned
community cards of this round: ['S6', 'C2', 'S3', 'SJ', 'DK']
name: baseline4, hole_card: ['DT', 'S4']
name: b10202024, hole_card: ['D9', 'S7']
name: baseline4, hole_card: ['DT', 'S4']
name: b10202024, hole_card: ['D9', 'S7']
name: baseline4, hole_card: ['DT', 'S4']
name: b10202024, hole_card: ['D9', 'S7']
name: baseline4, hole_card: ['DT', 'S4']
