community cards of this round: ['HJ', 'DA', 'SQ', 'DJ', 'C7']
name: baseline1, hole_card: ['H5', 'C5']
name: b10505057, hole_card: ['CJ', 'D3']
name: baseline4, hole_card: ['D6', 'D7']
name: b10505057, hole_card: ['CJ', 'D3']
name: baseline4, hole_card: ['D6', 'D7']
name: b10505057, hole_card: ['CJ', 'D3']
name: baseline4, hole_card: ['D6', 'D7']
name: b10505057, hole_card: ['CJ', 'D3']
name: baseline4, hole_card: ['D6', 'D7']
name: b10505057, hole_card: ['CJ', 'D3']
name: baseline4, hole_card: ['D6', 'D7']
community cards of this round: ['HT', 'D5', 'D3', 'SA', 'S2']
name: b10505057, hole_card: ['DA', 'D6']
name: baseline4, hole_card: ['HQ', 'CK']
name: b10505057, hole_card: ['DA', 'D6']
name: baseline4, hole_card: ['HQ', 'CK']
name: b10505057, hole_card: ['DA', 'D6']
name: baseline4, hole_card: ['HQ', 'CK']
community cards of this round: ['H4', 'C4', 'HJ', 'D2', 'S6']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
name: b10505057, hole_card: ['HA', 'C3']
name: baseline4, hole_card: ['D8', 'S2']
b10505057 vs baseline4 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10505057', 'uuid': 'qgesyvpyrobgyaeffrzjpm', 'stack': 0, 'state': 'folded'}, {'name': 'baseline4', 'uuid': 'heyursrpxszdcqtsrozmwy', 'stack': 1997.0721889276056, 'state': 'participating'}]}
community cards of this round: ['S9', 'H3', 'H9', 'D5', 'D3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
name: baseline4, hole_card: ['C7', 'C2']
name: b10505057, hole_card: ['C9', 'C3']
community cards of this round: ['D4', 'HK', 'D7', 'S7', 'HQ']
name: baseline4, hole_card: ['C5', 'D6']
name: b10505057, hole_card: ['HA', 'SJ']
name: baseline4, hole_card: ['C5', 'D6']
name: b10505057, hole_card: ['HA', 'SJ']
name: baseline4, hole_card: ['C5', 'D6']
name: b10505057, hole_card: ['HA', 'SJ']
name: baseline4, hole_card: ['C5', 'D6']
name: b10505057, hole_card: ['HA', 'SJ']
community cards of this round: ['C9', 'HT', 'SQ', 'H4', 'H7']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
name: baseline4, hole_card: ['S2', 'H9']
name: b10505057, hole_card: ['CK', 'C4']
community cards of this round: ['DT', 'D5', 'SA', 'S4', 'D9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
name: baseline4, hole_card: ['HK', 'D6']
name: b10505057, hole_card: ['SK', 'H9']
community cards of this round: ['DQ', 'DA', 'SJ', 'D4', 'CT']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
name: baseline4, hole_card: ['CK', 'H5']
name: b10505057, hole_card: ['S9', 'S4']
community cards of this round: ['CJ', 'H5', 'SK', 'C2', 'C8']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
name: baseline4, hole_card: ['H3', 'H9']
name: b10505057, hole_card: ['HT', 'S4']
community cards of this round: ['SA', 'S5', 'DA', 'H9', 'D5']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
name: baseline4, hole_card: ['H2', 'HT']
name: b10505057, hole_card: ['CK', 'H7']
community cards of this round: ['S6', 'SK', 'H5', 'S3', 'SJ']
name: baseline4, hole_card: ['H3', 'D7']
name: b10505057, hole_card: ['HK', 'H8']
name: baseline4, hole_card: ['H3', 'D7']
name: b10505057, hole_card: ['HK', 'H8']
name: baseline4, hole_card: ['H3', 'D7']
name: b10505057, hole_card: ['HK', 'H8']
name: baseline4, hole_card: ['H3', 'D7']
name: b10505057, hole_card: ['HK', 'H8']
community cards of this round: ['S4', 'SA', 'CK', 'SQ', 'H2']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
name: baseline4, hole_card: ['D2', 'CJ']
name: b10505057, hole_card: ['S5', 'DQ']
community cards of this round: ['CA', 'H6', 'S5', 'C7', 'S4']
name: baseline4, hole_card: ['DT', 'C6']
name: b10505057, hole_card: ['HQ', 'HT']
name: baseline4, hole_card: ['DT', 'C6']
name: b10505057, hole_card: ['HQ', 'HT']
name: baseline4, hole_card: ['DT', 'C6']
name: b10505057, hole_card: ['HQ', 'HT']
name: baseline4, hole_card: ['DT', 'C6']
name: b10505057, hole_card: ['HQ', 'HT']
community cards of this round: ['H3', 'H2', 'HQ', 'ST', 'C5']
name: baseline4, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['D8', 'D2']
name: baseline4, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['D8', 'D2']
community cards of this round: ['HK', 'D2', 'DQ', 'CA', 'D4']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
name: baseline4, hole_card: ['HJ', 'H5']
name: b10505057, hole_card: ['DT', 'HA']
community cards of this round: ['D8', 'S5', 'H9', 'D4', 'H5']
name: baseline4, hole_card: ['H4', 'C4']
name: b10505057, hole_card: ['CQ', 'CA']
name: baseline4, hole_card: ['H4', 'C4']
name: b10505057, hole_card: ['CQ', 'CA']
community cards of this round: ['C7', 'HQ', 'SQ', 'SA', 'CA']
name: baseline4, hole_card: ['CK', 'D5']
name: b10505057, hole_card: ['D6', 'DK']
name: baseline4, hole_card: ['CK', 'D5']
name: b10505057, hole_card: ['D6', 'DK']
name: baseline4, hole_card: ['CK', 'D5']
name: b10505057, hole_card: ['D6', 'DK']
community cards of this round: ['C5', 'CK', 'HQ', 'S2', 'H5']
name: baseline4, hole_card: ['S3', 'S4']
name: b10505057, hole_card: ['ST', 'D5']
name: baseline4, hole_card: ['S3', 'S4']
name: b10505057, hole_card: ['ST', 'D5']
community cards of this round: ['H3', 'C2', 'C9', 'H2', 'H5']
name: baseline4, hole_card: ['S4', 'D3']
name: b10505057, hole_card: ['H8', 'HA']
name: baseline4, hole_card: ['S4', 'D3']
name: b10505057, hole_card: ['H8', 'HA']
name: baseline4, hole_card: ['S4', 'D3']
name: b10505057, hole_card: ['H8', 'HA']
community cards of this round: ['H6', 'CJ', 'DJ', 'SQ', 'HQ']
name: baseline4, hole_card: ['C9', 'C6']
name: b10505057, hole_card: ['C7', 'DK']
name: baseline4, hole_card: ['C9', 'C6']
name: b10505057, hole_card: ['C7', 'DK']
community cards of this round: ['H6', 'D4', 'HT', 'D5', 'H7']
name: baseline4, hole_card: ['C9', 'CT']
name: b10505057, hole_card: ['HA', 'CA']
name: baseline4, hole_card: ['C9', 'CT']
name: b10505057, hole_card: ['HA', 'CA']
name: baseline4, hole_card: ['C9', 'CT']
name: b10505057, hole_card: ['HA', 'CA']
community cards of this round: ['SQ', 'C7', 'D6', 'D9', 'S7']
name: baseline4, hole_card: ['H7', 'CJ']
name: b10505057, hole_card: ['CA', 'D4']
name: baseline4, hole_card: ['H7', 'CJ']
name: b10505057, hole_card: ['CA', 'D4']
community cards of this round: ['H7', 'DK', 'HQ', 'CT', 'D6']
name: baseline4, hole_card: ['S4', 'D7']
name: b10505057, hole_card: ['D8', 'D3']
name: baseline4, hole_card: ['S4', 'D7']
name: b10505057, hole_card: ['D8', 'D3']
name: baseline4, hole_card: ['S4', 'D7']
name: b10505057, hole_card: ['D8', 'D3']
b10505057 vs baseline4 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline4', 'uuid': 'vjtlsliwmsviwmkkzflbjf', 'stack': 686.430549740958, 'state': 'participating'}, {'name': 'b10505057', 'uuid': 'zxtbeyzfwnqiiuwurajsya', 'stack': 1308.93409704443, 'state': 'participating'}]}
community cards of this round: ['S9', 'H3', 'H9', 'D5', 'D3']
name: b10505057, hole_card: ['C7', 'C2']
name: baseline4, hole_card: ['C9', 'C3']
name: b10505057, hole_card: ['C7', 'C2']
name: baseline4, hole_card: ['C9', 'C3']
name: b10505057, hole_card: ['C7', 'C2']
name: baseline4, hole_card: ['C9', 'C3']
community cards of this round: ['D4', 'HK', 'D7', 'S7', 'HQ']
name: b10505057, hole_card: ['C5', 'D6']
name: baseline4, hole_card: ['HA', 'SJ']
name: b10505057, hole_card: ['C5', 'D6']
name: baseline4, hole_card: ['HA', 'SJ']
community cards of this round: ['C9', 'HT', 'SQ', 'H4', 'H7']
name: b10505057, hole_card: ['S2', 'H9']
name: baseline4, hole_card: ['CK', 'C4']
name: b10505057, hole_card: ['S2', 'H9']
name: baseline4, hole_card: ['CK', 'C4']
name: b10505057, hole_card: ['S2', 'H9']
name: baseline4, hole_card: ['CK', 'C4']
community cards of this round: ['DT', 'D5', 'SA', 'S4', 'D9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
name: b10505057, hole_card: ['HK', 'D6']
name: baseline4, hole_card: ['SK', 'H9']
community cards of this round: ['DQ', 'DA', 'SJ', 'D4', 'CT']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
name: b10505057, hole_card: ['CK', 'H5']
name: baseline4, hole_card: ['S9', 'S4']
community cards of this round: ['CJ', 'H5', 'SK', 'C2', 'C8']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
name: b10505057, hole_card: ['H3', 'H9']
name: baseline4, hole_card: ['HT', 'S4']
community cards of this round: ['SA', 'S5', 'DA', 'H9', 'D5']
name: b10505057, hole_card: ['H2', 'HT']
name: baseline4, hole_card: ['CK', 'H7']
name: b10505057, hole_card: ['H2', 'HT']
name: baseline4, hole_card: ['CK', 'H7']
name: b10505057, hole_card: ['H2', 'HT']
name: baseline4, hole_card: ['CK', 'H7']
name: b10505057, hole_card: ['H2', 'HT']
name: baseline4, hole_card: ['CK', 'H7']
name: b10505057, hole_card: ['H2', 'HT']
name: baseline4, hole_card: ['CK', 'H7']
community cards of this round: ['S6', 'SK', 'H5', 'S3', 'SJ']
name: b10505057, hole_card: ['H3', 'D7']
name: baseline4, hole_card: ['HK', 'H8']
name: b10505057, hole_card: ['H3', 'D7']
name: baseline4, hole_card: ['HK', 'H8']
community cards of this round: ['S4', 'SA', 'CK', 'SQ', 'H2']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
name: b10505057, hole_card: ['D2', 'CJ']
name: baseline4, hole_card: ['S5', 'DQ']
community cards of this round: ['CA', 'H6', 'S5', 'C7', 'S4']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
name: b10505057, hole_card: ['DT', 'C6']
name: baseline4, hole_card: ['HQ', 'HT']
community cards of this round: ['H3', 'H2', 'HQ', 'ST', 'C5']
name: b10505057, hole_card: ['CK', 'CA']
name: baseline4, hole_card: ['D8', 'D2']
name: b10505057, hole_card: ['CK', 'CA']
name: baseline4, hole_card: ['D8', 'D2']
community cards of this round: ['HK', 'D2', 'DQ', 'CA', 'D4']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
name: b10505057, hole_card: ['HJ', 'H5']
name: baseline4, hole_card: ['DT', 'HA']
community cards of this round: ['D8', 'S5', 'H9', 'D4', 'H5']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
name: b10505057, hole_card: ['H4', 'C4']
name: baseline4, hole_card: ['CQ', 'CA']
community cards of this round: ['C7', 'HQ', 'SQ', 'SA', 'CA']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
name: b10505057, hole_card: ['CK', 'D5']
name: baseline4, hole_card: ['D6', 'DK']
community cards of this round: ['C5', 'CK', 'HQ', 'S2', 'H5']
name: b10505057, hole_card: ['S3', 'S4']
name: baseline4, hole_card: ['ST', 'D5']
name: b10505057, hole_card: ['S3', 'S4']
name: baseline4, hole_card: ['ST', 'D5']
community cards of this round: ['H3', 'C2', 'C9', 'H2', 'H5']
name: b10505057, hole_card: ['S4', 'D3']
name: baseline4, hole_card: ['H8', 'HA']
name: b10505057, hole_card: ['S4', 'D3']
name: baseline4, hole_card: ['H8', 'HA']
community cards of this round: ['H6', 'CJ', 'DJ', 'SQ', 'HQ']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
name: b10505057, hole_card: ['C9', 'C6']
name: baseline4, hole_card: ['C7', 'DK']
community cards of this round: ['H6', 'D4', 'HT', 'D5', 'H7']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline4, hole_card: ['HA', 'CA']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline4, hole_card: ['HA', 'CA']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline4, hole_card: ['HA', 'CA']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline4, hole_card: ['HA', 'CA']
name: b10505057, hole_card: ['C9', 'CT']
name: baseline4, hole_card: ['HA', 'CA']
community cards of this round: ['SQ', 'C7', 'D6', 'D9', 'S7']
name: b10505057, hole_card: ['H7', 'CJ']
name: baseline4, hole_card: ['CA', 'D4']
name: b10505057, hole_card: ['H7', 'CJ']
name: baseline4, hole_card: ['CA', 'D4']
community cards of this round: ['H7', 'DK', 'HQ', 'CT', 'D6']
name: b10505057, hole_card: ['S4', 'D7']
name: baseline4, hole_card: ['D8', 'D3']
name: b10505057, hole_card: ['S4', 'D7']
name: baseline4, hole_card: ['D8', 'D3']
b10505057 vs baseline4 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10505057', 'uuid': 'yihcspvxhwdebowkmvsmty', 'stack': 954.0386878335689, 'state': 'participating'}, {'name': 'baseline4', 'uuid': 'llyzhnpowumocfscsrtvwb', 'stack': 1040.0, 'state': 'participating'}]}
b10505057 vs baseline4 - Match Result: 1 games won, 1.5 points earned
community cards of this round: ['D3', 'C7', 'SA', 'C5', 'S7']
name: baseline5, hole_card: ['D7', 'D8']
name: b10505057, hole_card: ['H5', 'C2']
name: baseline5, hole_card: ['D7', 'D8']
name: b10505057, hole_card: ['H5', 'C2']
community cards of this round: ['SQ', 'D4', 'D9', 'D3', 'H7']
name: baseline5, hole_card: ['HK', 'H3']
name: b10505057, hole_card: ['C7', 'S5']
name: baseline5, hole_card: ['HK', 'H3']
name: b10505057, hole_card: ['C7', 'S5']
name: baseline5, hole_card: ['HK', 'H3']
name: b10505057, hole_card: ['C7', 'S5']
community cards of this round: ['HJ', 'S6', 'SQ', 'H4', 'S9']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline5, hole_card: ['CA', 'H5']
name: b10505057, hole_card: ['C5', 'C8']
community cards of this round: ['C7', 'DT', 'S8', 'D6', 'C4']
name: baseline5, hole_card: ['H3', 'H6']
name: b10505057, hole_card: ['S9', 'SK']
name: baseline5, hole_card: ['H3', 'H6']
name: b10505057, hole_card: ['S9', 'SK']
name: baseline5, hole_card: ['H3', 'H6']
name: b10505057, hole_card: ['S9', 'SK']
name: baseline5, hole_card: ['H3', 'H6']
name: b10505057, hole_card: ['S9', 'SK']
community cards of this round: ['C9', 'H4', 'HK', 'HA', 'DT']
name: baseline5, hole_card: ['SJ', 'D8']
name: b10505057, hole_card: ['H7', 'CA']
name: baseline5, hole_card: ['SJ', 'D8']
name: b10505057, hole_card: ['H7', 'CA']
name: baseline5, hole_card: ['SJ', 'D8']
name: b10505057, hole_card: ['H7', 'CA']
community cards of this round: ['HA', 'C9', 'SK', 'D4', 'HJ']
name: baseline5, hole_card: ['HT', 'DA']
name: b10505057, hole_card: ['C7', 'C6']
name: baseline5, hole_card: ['HT', 'DA']
name: b10505057, hole_card: ['C7', 'C6']
name: baseline5, hole_card: ['HT', 'DA']
name: b10505057, hole_card: ['C7', 'C6']
